label,total_entities,unique_entities,diversity_ratio,entity	
ai,19,10,0.5263,علي	
ai,19,10,0.5263,أحمد	
ai,13,5,0.3846,الوحدة	
ai,8,5,0.625,بيت	
ai,8,5,0.625,لبيت	
ai,8,5,0.625,المقدس	
ai,8,5,0.625,المدينة	
ai,13,7,0.5385,للقدس	
ai,13,7,0.5385,صلاح	
ai,15,5,0.3333,القدس	
ai,15,5,0.3333,مدينة	
ai,8,4,0.5,عين	
ai,3,2,0.6667,الحنفي	
ai,11,8,0.7273,لجأوا	
ai,11,8,0.7273,لفلسطين	
ai,11,8,0.7273,غزة	
ai,11,8,0.7273,بمصر	
ai,11,8,0.7273,قطاع	
ai,11,8,0.7273,والوطن	
ai,11,8,0.7273,سيناء	
ai,8,7,0.875,عبد	
ai,8,7,0.875,الأمير	
ai,8,7,0.875,القادر	
ai,8,7,0.875,والصحراء	
ai,30,14,0.4667,أم	
ai,30,14,0.4667,وعين	
ai,30,14,0.4667,أمام	
ai,30,14,0.4667,بينهم	
ai,30,14,0.4667,خليفة	
ai,10,8,0.8,فلسطين	
ai,7,4,0.5714,الهام	
ai,3,3,1.0,العثماني	
ai,9,5,0.5556,كانا	
ai,9,8,0.8889,لحق	
ai,5,4,0.8,بنِ	
ai,5,4,0.8,الكرامة	
ai,9,7,0.7778,خبر	
ai,9,7,0.7778,بالخبر	
ai,9,7,0.7778,معين	
ai,10,8,0.8,آية	
ai,10,8,0.8,كرامة	
ai,10,8,0.8,سورة	
ai,5,5,1.0,بينها	
ai,5,5,1.0,والمستقبل	
ai,7,4,0.5714,الثالث	
ai,6,4,0.6667,وعلى	
ai,3,3,1.0,ديب	
ai,6,5,0.8333,والنيل	
ai,6,5,0.8333,لمحمد	
ai,15,11,0.7333,لويس	
ai,15,11,0.7333,إسماعيل	
ai,15,11,0.7333,سلام	
ai,15,11,0.7333,لإبرام	
ai,15,11,0.7333,الملك	
ai,4,2,0.5,القبائل	
ai,8,7,0.875,آل	
ai,8,7,0.875,المشهد	
ai,8,7,0.875,وآل	
ai,6,4,0.6667,عامي	
ai,7,4,0.5714,أكبر	
ai,13,5,0.3846,فيما	
ai,19,14,0.7368,وفرنسا	
ai,19,14,0.7368,إبرام	
ai,11,7,0.6364,إفريقيا	
ai,11,7,0.6364,هلال	
ai,11,9,0.8182,الثاني	
ai,32,7,0.2188,المناخ	
ai,32,7,0.2188,والمغرب	
ai,23,16,0.6957,وفد	
ai,23,16,0.6957,الوفد	
ai,23,16,0.6957,بادر	
ai,23,16,0.6957,للمغرب	
ai,5,5,1.0,الشيخ	
ai,5,5,1.0,إبراهيم	
ai,14,9,0.6429,وهران	
ai,7,5,0.7143,لدى	
ai,5,3,0.6,المغاربي	
ai,7,4,0.5714,نوفمبر	
ai,7,4,0.5714,بيان	
ai,5,5,1.0,مريم	
ai,5,5,1.0,التلمساني	
ai,5,5,1.0,فاطمة	
ai,7,7,1.0,بالحياة	
ai,5,4,0.8,للوطن	
ai,3,3,1.0,للحد	
ai,6,4,0.6667,واحدة	
ai,7,7,1.0,الإسلام	
ai,7,5,0.7143,ووحدة	
ai,3,3,1.0,نجاح	
ai,7,5,0.7143,قيصر	
ai,10,7,0.7,الشهير	
ai,6,6,1.0,جوبا	
ai,6,3,0.5,الحياة	
ai,8,4,0.5,مسيرة	
ai,8,5,0.625,ومستقبل	
ai,8,5,0.625,عادل	
ai,8,5,0.625,للجزائر	
ai,2,2,1.0,والنجاح	
ai,9,9,1.0,الأمل	
ai,9,9,1.0,الشريف	
ai,9,9,1.0,شاوش	
ai,9,9,1.0,الشباب	
ai,8,6,0.75,بمدينة	
ai,12,7,0.5833,كسبت	
ai,12,7,0.5833,البيان	
ai,12,7,0.5833,فحص	
ai,12,7,0.5833,ثورة	
ai,6,5,0.8333,ببناء	
ai,6,5,0.8333,راية	
ai,7,4,0.5714,لواء	
ai,5,4,0.8,إحدى	
ai,11,8,0.7273,لرأي	
ai,9,8,0.8889,وأحمد	
ai,9,8,0.8889,بابا	
ai,9,8,0.8889,الشريعة	
ai,15,10,0.6667,الفقيه	
ai,10,8,0.8,النقاش	
ai,18,11,0.6111,والكرامة	
ai,18,11,0.6111,وأكبر	
ai,18,11,0.6111,الأمم	
ai,18,11,0.6111,جوهر	
ai,6,5,0.8333,والبصرة	
ai,6,5,0.8333,وعمان	
ai,6,5,0.8333,والحديث	
ai,7,4,0.5714,القطاع	
ai,7,4,0.5714,للقطاع	
ai,8,8,1.0,عمان	
ai,8,8,1.0,رأي	
ai,9,6,0.6667,وفحص	
ai,9,6,0.6667,البصرة	
ai,6,3,0.5,والأمم	
ai,5,5,1.0,بالثورة	
ai,5,5,1.0,حاج	
ai,5,5,1.0,سليم	
ai,7,4,0.5714,بثورة	
ai,12,8,0.6667,المرابطين	
ai,12,8,0.6667,المرابطون	
ai,12,8,0.6667,سامية	
ai,12,8,0.6667,الأمراء	
ai,14,7,0.5,للشيخ	
ai,14,7,0.5,بالتصوف	
ai,19,9,0.4737,كشيخ	
ai,18,10,0.5556,صوفياً	
ai,18,10,0.5556,والتصوف	
ai,7,4,0.5714,وفتح	
ai,7,4,0.5714,السودان	
ai,10,7,0.7,فتح	
ai,7,5,0.7143,رائدة	
ai,5,4,0.8,الشيعة	
ai,6,6,1.0,وبيان	
ai,6,6,1.0,والمتصوفة	
ai,11,8,0.7273,النهضة	
ai,11,8,0.7273,أمراء	
ai,8,7,0.875,الساحل	
ai,8,7,0.875,رافداً	
ai,8,7,0.875,الإمارات	
ai,8,7,0.875,ويليام	
ai,8,7,0.875,إمارات	
ai,8,7,0.875,والإمارات	
ai,8,7,0.875,الخليج	
ai,6,4,0.6667,الفتح	
ai,11,8,0.7273,يحيى	
ai,13,11,0.8462,والتنصير	
ai,13,11,0.8462,بدأتها	
ai,13,11,0.8462,الإبراهيمي	
ai,13,11,0.8462,البشير	
ai,13,11,0.8462,والفرنسة	
ai,25,16,0.64,خليج	
ai,25,16,0.64,وجبل	
ai,25,16,0.64,والسودان	
ai,25,16,0.64,فجر	
ai,25,16,0.64,ساحل	
ai,25,16,0.64,وأوروبا	
ai,25,16,0.64,وبين	
ai,25,16,0.64,لجبل	
ai,20,11,0.55,اليوم	
ai,20,11,0.55,للمدينة	
ai,19,12,0.6316,أندلسي	
ai,19,12,0.6316,الفريدة	
ai,3,3,1.0,الطالب	
ai,4,4,1.0,بنجاح	
ai,4,4,1.0,أمرًا	
ai,5,3,0.6,الأمين	
ai,9,6,0.6667,والخطيب	
ai,9,6,0.6667,عمل	
ai,12,10,0.8333,للإسلام	
ai,12,10,0.8333,طويل	
ai,7,4,0.5714,وفريدة	
ai,7,4,0.5714,لفحص	
ai,5,5,1.0,حملة	
ai,5,5,1.0,بالكفر	
ai,6,3,0.5,بلد	
ai,4,3,0.75,الوطن	
ai,3,3,1.0,مكة	
ai,3,3,1.0,الرحمن	
ai,2,2,1.0,كمي	
ai,4,4,1.0,للحياة	
ai,9,8,0.8889,أشرف	
ai,9,8,0.8889,الدافع	
ai,7,5,0.7143,فهو	
ai,11,5,0.4545,العراق	
ai,19,7,0.3684,وطالب	
ai,18,9,0.5,العدوان	
ai,18,9,0.5,المتحدة	
ai,7,7,1.0,الرحمان	
ai,5,3,0.6,يوليو	
ai,18,5,0.2778,الجنرال	
ai,18,5,0.2778,جويلية	
ai,18,11,0.6111,وحدة	
ai,10,10,1.0,رأى	
ai,10,10,1.0,دافع	
ai,8,4,0.5,والبناء	
ai,12,8,0.6667,موسى	
ai,12,8,0.6667,ولكن	
ai,11,6,0.5455,الجهاد	
ai,14,9,0.6429,وبناء	
ai,14,9,0.6429,البناء	
ai,14,9,0.6429,بنى	
ai,14,9,0.6429,الحكم	
ai,13,9,0.6923,مايو	
ai,10,6,0.6,ثورته	
ai,4,4,1.0,ضفتي	
ai,16,10,0.625,وقاعدة	
ai,16,10,0.625,زكريا	
ai,16,10,0.625,لقسنطينة	
ai,16,10,0.625,قسنطينة	
ai,12,10,0.8333,وقسنطينة	
ai,12,10,0.8333,عمر	
ai,10,6,0.6,نضال	
ai,10,6,0.6,ونيل	
ai,10,6,0.6,حق	
ai,12,7,0.5833,الحديث	
ai,12,7,0.5833,فالجزائر	
ai,12,7,0.5833,بالجزائر	
ai,7,4,0.5714,سلامة	
ai,16,9,0.5625,ترك	
ai,17,8,0.4706,تلمسان	
ai,11,6,0.5455,البصري	
ai,11,6,0.5455,الإنترنت	
ai,12,5,0.4167,والثورة	
ai,15,4,0.2667,للشرق	
ai,12,4,0.3333,بالفروق	
ai,6,5,0.8333,وُلِدَ	
ai,6,5,0.8333,ليبيا	
ai,6,5,0.8333,وسيد	
ai,6,5,0.8333,سليمان	
ai,24,16,0.6667,للجهاد	
ai,24,16,0.6667,البارون	
ai,24,16,0.6667,وسيداً	
ai,24,16,0.6667,جهاد	
ai,17,10,0.5882,منه	
ai,17,10,0.5882,ورائد	
ai,17,10,0.5882,بالنصر	
ai,17,10,0.5882,تاج	
ai,10,9,0.9,والعثماني	
ai,4,3,0.75,الإمام	
ai,4,3,0.75,الإِمَامِ	
ai,9,6,0.6667,نصر	
ai,9,6,0.6667,أبو	
ai,9,6,0.6667,إسلامي	
ai,13,11,0.8462,الإسبان	
ai,13,11,0.8462,إسبانيا	
ai,13,11,0.8462,والبشري	
ai,7,5,0.7143,وتأمل	
ai,7,5,0.7143,للشريعة	
ai,10,6,0.6,مستقبل	
ai,10,10,1.0,الأفغاني	
ai,10,10,1.0,جمال	
ai,8,4,0.5,والشام	
ai,11,8,0.7273,المسيح	
ai,11,8,0.7273,يسوع	
ai,14,11,0.7857,أوروبا	
ai,14,11,0.7857,شرقهم	
ai,6,4,0.6667,المستقبل	
ai,6,4,0.6667,الجزيرة	
ai,6,3,0.5,بمناخ	
ai,8,4,0.5,قادر	
ai,8,5,0.625,للمناخ	
ai,15,11,0.7333,السند	
ai,15,11,0.7333,الهند	
ai,15,11,0.7333,محمود	
ai,16,9,0.5625,للهند	
ai,21,14,0.6667,والهند	
ai,21,14,0.6667,الآن	
ai,21,14,0.6667,آسيا	
ai,9,9,1.0,باقي	
ai,9,9,1.0,الأخضر	
ai,9,5,0.5556,نيل	
ai,6,6,1.0,لله	
ai,6,6,1.0,كمال	
ai,6,6,1.0,والحياة	
ai,1,1,1.0,والمقاصد	
ai,5,2,0.4,شيخ	
ai,9,6,0.6667,لأحد	
ai,9,6,0.6667,الحرمين	
ai,9,6,0.6667,الأئمة	
ai,9,6,0.6667,للإمام	
ai,6,4,0.6667,الأقصى	
ai,6,4,0.6667,الأطلس	
ai,8,6,0.75,المسجد	
ai,8,6,0.75,التنظيم	
ai,8,6,0.75,العمران	
ai,8,6,0.75,لمدينة	
ai,8,6,0.75,والمسجد	
ai,17,10,0.5882,للعمران	
ai,8,6,0.75,طرابلس	
ai,5,5,1.0,لخضر	
ai,6,5,0.8333,بوحدة	
ai,8,8,1.0,لوحدة	
ai,14,9,0.6429,عون	
ai,14,9,0.6429,لوهران	
ai,14,9,0.6429,المجلة	
ai,14,7,0.5,مجلة	
ai,13,10,0.7692,الكريم	
ai,13,10,0.7692,للشباب	
ai,11,9,0.8182,للعمل	
ai,14,12,0.8571,للأمير	
ai,12,8,0.6667,ميلادي	
ai,10,9,0.9,القاعدة	
ai,8,6,0.75,خلف	
ai,11,6,0.5455,العزيز	
ai,11,6,0.5455,الثعالبي	
ai,18,11,0.6111,والتضامن	
ai,2,2,1.0,والمالي	
ai,7,4,0.5714,المحسن	
ai,3,2,0.6667,النجاح	
ai,14,6,0.4286,كن	
ai,8,6,0.75,لبيان	
ai,12,7,0.5833,للبيان	
ai,3,3,1.0,تيبازة	
ai,9,7,0.7778,رأس	
ai,9,7,0.7778,بالساحل	
ai,11,10,0.9091,بالولايات	
ai,11,10,0.9091,بينه	
ai,11,10,0.9091,الطيب	
ai,14,7,0.5,والعمران	
ai,10,7,0.7,حديثة	
ai,12,10,0.8333,يثرب	
ai,12,10,0.8333,حافظ	
ai,4,4,1.0,معادية	
ai,4,4,1.0,لصالح	
ai,5,3,0.6,مناخ	
ai,7,3,0.4286,الجوهري	
ai,6,3,0.5,الأندلس	
ai,9,7,0.7778,والوحدة	
ai,9,5,0.5556,السيد	
ai,4,4,1.0,قاعدة	
ai,2,2,1.0,كأكبر	
ai,8,4,0.5,وقبائل	
ai,9,7,0.7778,حمد	
ai,14,6,0.4286,الرباط	
ai,14,6,0.4286,الحق	
ai,15,9,0.6,لتنظيم	
ai,8,6,0.75,والمماليك	
ai,12,6,0.5,بالصحراء	
ai,8,6,0.75,قطر	
ai,8,6,0.75,بعين	
ai,7,6,0.8571,الذهب	
ai,8,6,0.75,المعادن	
ai,17,7,0.4118,الشام	
ai,10,5,0.5,وتركيا	
ai,10,6,0.6,كإحدى	
ai,7,5,0.7143,الغزالي	
ai,17,14,0.8235,يوسف	
ai,17,14,0.8235,حامد	
ai,9,8,0.8889,وليبيا	
ai,15,12,0.8,وثورتها	
ai,10,7,0.7,إيطاليا	
ai,10,7,0.7,لليبيا	
ai,12,9,0.75,بريطانيا	
ai,12,9,0.75,والنمسا	
ai,12,9,0.75,وألمانيا	
ai,15,12,0.8,لإيطاليا	
ai,15,12,0.8,وروسيا	
ai,13,12,0.9231,ماي	
ai,9,9,1.0,راس	
ai,9,9,1.0,وتونس	
ai,9,9,1.0,وأبو	
ai,22,9,0.4091,الناصري	
ai,6,4,0.6667,فريدة	
ai,5,4,0.8,والجزائر	
ai,6,5,0.8333,ليهود	
ai,10,5,0.5,لليهود	
ai,11,7,0.6364,اليهودي	
ai,22,13,0.5909,ناصر	
ai,22,13,0.5909,محي	
ai,22,15,0.6818,السعيد	
ai,17,13,0.7647,سيد	
ai,17,13,0.7647,الفرس	
ai,17,13,0.7647,خالق	
ai,17,13,0.7647,التوحيدي	
ai,17,13,0.7647,ديانة	
ai,17,13,0.7647,زرادشت	
ai,17,13,0.7647,لإيران	
ai,12,10,0.8333,كديانة	
ai,11,10,0.9091,ولد	
ai,13,11,0.8462,عمره	
ai,6,5,0.8333,للتأمل	
ai,16,14,0.875,العظيم	
ai,12,9,0.75,تركه	
ai,12,9,0.75,بالأمل	
ai,6,6,1.0,كرد	
ai,6,5,0.8333,المدية	
ai,9,6,0.6667,ونجاح	
ai,9,6,0.6667,الأتراك	
ai,9,5,0.5556,عمار	
ai,8,7,0.875,الزيتونة	
ai,8,7,0.875,واد	
ai,20,10,0.5,كادم	
ai,12,8,0.6667,للنهضة	
ai,9,7,0.7778,الإسماعيلي	
ai,9,7,0.7778,قبائل	
ai,11,10,0.9091,الولايات	
ai,24,14,0.5833,والولايات	
ai,4,3,0.75,الصفاء	
ai,8,3,0.375,خراسان	
ai,4,3,0.75,للقرآن	
ai,4,3,0.75,للوحدة	
ai,16,13,0.8125,باديس	
ai,16,13,0.8125,النصر	
ai,16,13,0.8125,عبيد	
ai,20,11,0.55,للمستقبل	
ai,23,15,0.6522,وعروبته	
ai,23,15,0.6522,لمجلة	
ai,5,3,0.6,المحيط	
ai,27,17,0.6296,للبناء	
ai,15,8,0.5333,والتنظيم	
ai,9,6,0.6667,كأمين	
ai,9,6,0.6667,للحزب	
ai,9,6,0.6667,الحبيب	
ai,13,7,0.5385,الحزب	
ai,14,11,0.7857,نسخ	
ai,14,11,0.7857,أيوب	
ai,14,11,0.7857,كتبت	
ai,14,11,0.7857,العباس	
ai,15,12,0.8,مغربي	
ai,14,11,0.7857,والثالث	
ai,10,5,0.5,تأمل	
ai,11,6,0.5455,بلدة	
ai,17,5,0.2941,الأرمن	
ai,7,5,0.7143,بالأرمن	
ai,6,5,0.8333,بالزيتونة	
ai,22,7,0.3182,مسجد	
ai,6,3,0.5,ديسمبر	
ai,3,3,1.0,ولي	
ai,3,2,0.6667,للتنظيم	
ai,5,4,0.8,والحق	
ai,6,5,0.8333,حزب	
ai,12,6,0.5,طالب	
ai,8,6,0.75,للإنترنت	
ai,6,6,1.0,سالم	
ai,13,9,0.6923,بفحص	
ai,13,9,0.6923,بالبناء	
ai,1,1,1.0,مصور	
ai,12,6,0.5,الحمادي	
ai,12,6,0.5,الناصر	
ai,20,11,0.55,صفاقس	
ai,8,5,0.625,شجاعة	
ai,10,8,0.8,حنيفة	
ai,10,8,0.8,وآمال	
ai,8,5,0.625,وسلامة	
ai,8,3,0.375,المدني	
ai,14,10,0.7143,للحج	
ai,14,10,0.7143,وصالح	
ai,12,11,0.9167,وإبراهيم	
ai,13,13,1.0,لنهضة	
ai,16,13,0.8125,نهضة	
ai,16,13,0.8125,بتونس	
ai,15,14,0.9333,الواسع	
ai,18,15,0.8333,ملك	
ai,18,15,0.8333,الركن	
ai,18,15,0.8333,ومغربه	
ai,6,5,0.8333,فروق	
ai,13,7,0.5385,بكر	
ai,13,7,0.5385,مصطفى	
ai,9,7,0.7778,عثماني	
ai,9,7,0.7778,عابد	
ai,9,7,0.7778,وبناءً	
ai,12,7,0.5833,الباي	
ai,11,6,0.5455,السلامة	
ai,11,6,0.5455,والسلامة	
ai,6,6,1.0,وعبد	
ai,6,6,1.0,الوهاب	
ai,16,11,0.6875,نجد	
ai,16,11,0.6875,لابن	
ai,16,11,0.6875,رباط	
ai,4,3,0.75,ولايتي	
ai,14,10,0.7143,وحياة	
ai,5,3,0.6,ماركس	
ai,5,3,0.6,فروم	
ai,9,6,0.6667,كارل	
ai,7,5,0.7143,بول	
ai,11,8,0.7273,بالوحدة	
ai,11,8,0.7273,لعبد	
ai,11,8,0.7273,الرقيب	
ai,3,2,0.6667,وحق	
ai,7,4,0.5714,الرياضي	
ai,7,5,0.7143,مستغانم	
ai,9,8,0.8889,لحسن	
ai,9,8,0.8889,إدريس	
ai,4,4,1.0,ادريس	
ai,6,4,0.6667,أربع	
ai,6,4,0.6667,وبشري	
ai,5,4,0.8,قاسم	
ai,5,4,0.8,هيام	
ai,4,3,0.75,الصور	
ai,6,5,0.8333,والرياضي	
ai,2,2,1.0,كوحدة	
ai,7,6,0.8571,حديث	
ai,16,14,0.875,فاس	
ai,16,14,0.875,تطوان	
ai,16,14,0.875,مراد	
ai,13,9,0.6923,ومحمد	
ai,13,9,0.6923,براي	
ai,16,14,0.875,وطرابلس	
ai,16,14,0.875,السعدي	
ai,16,14,0.875,وأقصى	
ai,16,14,0.875,بالمغرب	
ai,22,17,0.7727,بطرابلس	
ai,4,4,1.0,أمرا	
ai,7,6,0.8571,الزياني	
ai,9,7,0.7778,وُلد	
ai,9,7,0.7778,مسقط	
ai,30,23,0.7667,لمسقط	
ai,30,23,0.7667,والشيخ	
ai,36,20,0.5556,العارف	
ai,30,23,0.7667,الطيبة	
ai,30,23,0.7667,للتصوف	
ai,30,23,0.7667,وأحد	
ai,4,4,1.0,لقطاع	
ai,14,10,0.7143,البربر	
ai,14,10,0.7143,بالبربر	
ai,14,10,0.7143,عامر	
ai,14,10,0.7143,الكتائب	
ai,14,10,0.7143,وحسن	
ai,10,9,0.9,يهود	
ai,15,11,0.7333,الهاشمي	
ai,15,11,0.7333,الشلف	
ai,15,11,0.7333,قندوز	
ai,15,11,0.7333,الشعيبي	
ai,18,12,0.6667,الأزهر	
ai,18,12,0.6667,والزيتونة	
ai,19,13,0.6842,وذهب	
ai,8,6,0.75,وإمامة	
ai,10,6,0.6,فبراير	
ai,10,6,0.6,الاتحاد	
ai,10,6,0.6,للاتحاد	
ai,9,7,0.7778,ولدى	
ai,11,6,0.5455,والشريعة	
ai,4,4,1.0,القاهرة	
ai,8,7,0.875,مصري	
ai,6,3,0.5,ركن	
ai,4,2,0.5,والأحاديث	
ai,9,3,0.3333,معوض	
ai,2,2,1.0,روما	
ai,6,4,0.6667,بقطاع	
ai,9,4,0.4444,للوكيل	
ai,4,3,0.75,وكرم	
ai,10,7,0.7,طيبة	
ai,5,5,1.0,جوهري	
ai,1,1,1.0,خليل	
ai,9,5,0.5556,ثرية	
ai,9,8,0.8889,بتلمسان	
ai,8,5,0.625,أحادي	
ai,12,8,0.6667,ياسين	
ai,12,8,0.6667,مهدي	
ai,5,5,1.0,للمشهد	
ai,8,7,0.875,الأعرج	
ai,8,7,0.875,للقبائل	
ai,6,5,0.8333,مدينتي	
ai,8,6,0.75,كميّ	
ai,7,7,1.0,ايات	
ai,3,3,1.0,أئمة	
ai,6,6,1.0,بديع	
ai,6,6,1.0,الجبار	
ai,6,6,1.0,القاهر	
ai,9,6,0.6667,الجمال	
ai,6,4,0.6667,مقاصد	
ai,6,4,0.6667,العباد	
ai,14,10,0.7143,تيسير	
ai,14,10,0.7143,الشرع	
ai,7,3,0.4286,باريس	
ai,13,11,0.8462,جمعتها	
ai,13,11,0.8462,التيسير	
ai,13,11,0.8462,ببيان	
ai,4,4,1.0,بالشيخ	
ai,5,5,1.0,الجليل	
ai,8,6,0.75,بالإمام	
ai,5,3,0.6,والقرآن	
ai,8,5,0.625,أسماء	
ai,8,6,0.75,المتصوفة	
ai,17,17,1.0,الحارث	
ai,15,10,0.6667,وروحانية	
ai,18,11,0.6111,وموسى	
ai,18,11,0.6111,عقبة	
ai,18,11,0.6111,باب	
ai,18,11,0.6111,نافع	
ai,17,11,0.6471,لعقبة	
ai,9,5,0.5556,واحدًا	
ai,13,10,0.7692,زروق	
ai,13,10,0.7692,الفاسي	
ai,16,13,0.8125,إقبال	
ai,7,5,0.7143,حديثاً	
ai,11,6,0.5455,بصور	
ai,19,13,0.6842,جده	
ai,19,13,0.6842,المختار	
ai,19,13,0.6842,ميلاد	
ai,5,5,1.0,بالحق	
ai,9,3,0.3333,وتيسير	
ai,9,7,0.7778,ومصر	
ai,13,11,0.8462,ولو	
ai,13,11,0.8462,الأحاديث	
ai,23,13,0.5652,الستار	
ai,10,6,0.6,وشيخ	
ai,21,18,0.8571,أب	
ai,15,9,0.6,الروحانية	
ai,13,10,0.7692,محيطه	
ai,11,8,0.7273,والقبائل	
ai,11,8,0.7273,جزيرة	
ai,12,9,0.75,باي	
ai,11,10,0.9091,الصالح	
ai,17,12,0.7059,والإسبان	
ai,18,12,0.6667,عظمة	
ai,18,12,0.6667,لفتح	
ai,10,6,0.6,ىنا	
ai,10,6,0.6,بو	
ai,10,6,0.6,كال	
ai,23,13,0.5652,والباي	
ai,23,13,0.5652,واسع	
ai,15,8,0.5333,الأنصاري	
ai,15,8,0.5333,الحميدة	
ai,10,5,0.5,وأكد	
ai,7,4,0.5714,لنجاح	
ai,14,10,0.7143,وصبره	
ai,14,10,0.7143,بسيدي	
ai,6,6,1.0,الخضر	
ai,10,8,0.8,دمشق	
ai,14,11,0.7857,ومكة	
ai,14,11,0.7857,والقدس	
ai,5,4,0.8,لأية	
ai,67,33,0.4925,فال	
ai,67,33,0.4925,فيو	
ai,67,33,0.4925,وىو	
ai,67,33,0.4925,إىل	
ai,67,33,0.4925,لسيدي	
ai,67,33,0.4925,لدا	
ai,67,33,0.4925,ىي	
ai,67,33,0.4925,النسخ	
ai,67,33,0.4925,ين	
ai,67,33,0.4925,شريف	
ai,67,33,0.4925,فأبو	
ai,67,33,0.4925,عثمان	
ai,67,33,0.4925,بأي	
ai,9,7,0.7778,كعمل	
ai,9,7,0.7778,فريد	
ai,11,8,0.7273,معمر	
ai,31,14,0.4516,والثاني	
ai,31,14,0.4516,وحكم	
ai,31,14,0.4516,الظاهر	
ai,21,13,0.619,للخالق	
ai,8,8,1.0,حسين	
ai,13,9,0.6923,الخليفة	
ai,13,9,0.6923,الصديق	
ai,3,3,1.0,ورضا	
ai,18,11,0.6111,وصفاء	
ai,19,12,0.6316,جمعه	
ai,20,12,0.6,حمودة	
ai,21,13,0.619,وجمال	
ai,10,7,0.7,رأيه	
ai,10,7,0.7,للأئمة	
ai,9,7,0.7778,المسيرة	
ai,9,7,0.7778,الحسن	
ai,14,11,0.7857,أحدهما	
ai,14,11,0.7857,الحاكم	
ai,14,11,0.7857,للشّيخ	
ai,7,5,0.7143,سبتة	
ai,7,5,0.7143,بعث	
ai,3,2,0.6667,بأم	
ai,12,8,0.6667,والاندلس	
ai,12,10,0.8333,نقاش	
ai,14,8,0.5714,الآيات	
ai,14,8,0.5714,آيات	
ai,72,22,0.3056,الحسين	
ai,24,12,0.5,للآيات	
ai,24,19,0.7917,بابن	
ai,24,19,0.7917,وأبي	
ai,24,19,0.7917,زيد	
ai,24,19,0.7917,ونسخة	
ai,18,14,0.7778,بنسخة	
ai,18,12,0.6667,وموريتانيا	
ai,18,12,0.6667,مدريد	
ai,5,4,0.8,وأسماء	
ai,7,5,0.7143,أمراً	
ai,29,21,0.7241,بالمسيرة	
